Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.06    0.00 1194246/5101635     Mat<float>::~Mat() [27]
                0.02    0.03  132694/399760      Mat<float> operator*<float>(float const&, Mat<float> const&) [34]
                0.04    0.00 2385130/206509790     Mat<float>::get(int, int) const [8]
                0.01    0.01  132694/175298      Mat<float> transpose<float>(Mat<float> const&) [46]
                0.00    0.02  132694/175226      float norme1<float>(Mat<float>) [48]
                0.02    0.00  265388/329344      std::sqrt(float) [51]
                0.01    0.00  265388/320707      __gnu_cxx::__enable_if<std::__is_arithmetic<float>::__value, int>::__type std::isnan<float>(float) [56]
                0.01    0.00  540161/10898299     Mat<float>::set(float, int, int) [36]
                0.00    0.00  132694/2291920     Mat<float>::Mat(int, int) [39]
                0.00    0.00  265388/265388      std::floor(float) [105]
-----------------------------------------------
                0.00    0.00       8/137312      poseEstimationLS(Frame<float>*, Mat<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [3]
                0.00    0.11    9717/137312      LSSE3<float>::computePyramidResidualA(int) [5]
                0.00    0.48   42523/137312      LSSE3<float>::rigidMotion(Mat<float> const&, Mat<float> const&) [10]
                0.01    0.96   85064/137312      Mat<float> expMSIM3<float>(Mat<float> const&) [11]
[16]    20.9    0.01    1.55  137312         Mat<float> operatorC<float>(Mat<float> const&, Mat<float> const&) [16]
                0.55    0.82  137312/196199      Mat<float>::Mat(Mat<float> const&, float, int, int, int, int) [12]
                0.04    0.10  137312/1810368     Mat<float>::Mat(Mat<float> const&) [13]
                0.01    0.00  704562/206509790     Mat<float>::get(int, int) const [8]
                0.01    0.00 1391122/56402520     Mat<float>::getLine() const [23]
                0.01    0.00  704562/10898299     Mat<float>::set(float, int, int) [36]
                0.01    0.00  137312/5101635     Mat<float>::~Mat() [27]
                0.00    0.00 1253810/58910234     Mat<float>::getColumn() const [38]
-----------------------------------------------
                0.00    0.00       8/581147      poseEstimationLS(Frame<float>*, Mat<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [3]
                0.00    0.00      56/581147      LSSE3<float>::LSSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, int) [29]
                0.00    0.00     128/581147      LSSE3<float>::energy(Mat<float>) [4]
                0.00    0.00     128/581147      OODirectSlamSE3<float>::computePyramid(int) [31]
                0.00    0.00     324/581147      Mat<float> gaussj<float>(Mat<float>*, Mat<float>*, int) [64]
                0.00    0.00    1648/581147      computeEpipolarLine(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [45]
                0.00    0.02    8240/581147      computeEpipolarLine2(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [43]
                0.00    0.02    8320/581147      main10() [2]
                0.00    0.02    9845/581147      LSSE3<float>::computePyramidResidualA(int) [5]
                0.00    0.02    9888/581147      debugPose(Frame<float>*, Frame<float>*, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, float) [40]
                0.00    0.11   49065/581147      LSSE3<float>::Jr(Mat<float> const&, Mat<float> const&) [6]
                0.00    0.11   50560/581147      Mat<float> pooling<float>(Mat<float>, Mat<float>, int) [32]
                0.01    0.19   85046/581147      LSSE3<float>::retroproj(Mat<float> const&) [25]
                0.01    0.21   92503/581147      exhaustiveSearchEpipolarLine(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, float, Mat<float>*, Mat<float>*, float) [14]
                0.02    0.59  265388/581147      Frame<float>::get(Mat<float> const&) [15]
[17]    17.7    0.03    1.29  581147         Mat<float>::operator=(Mat<float> const&) [17]
                0.46    0.80  581147/581219      Mat<float>::copy(Mat<float> const&) [18]
                0.03    0.00  581147/5101635     Mat<float>::~Mat() [27]
-----------------------------------------------
                0.00    0.00      72/581219      Frame<float>::copyFrame(Frame<float> const&) [70]
                0.46    0.80  581147/581219      Mat<float>::operator=(Mat<float> const&) [17]
[18]    16.9    0.46    0.80  581219         Mat<float>::copy(Mat<float> const&) [18]
                0.79    0.00 45328789/206509790     Mat<float>::get(int, int) const [8]
                0.00    0.00  581219/56402520     Mat<float>::getLine() const [23]
                0.00    0.00  581219/58910234     Mat<float>::getColumn() const [38]
-----------------------------------------------
                0.01    0.01      56/1704        void afficherMat<float>(std::string, Mat<float>*, Mat<float>*, Mat<float>*, bool, float) [47]
                0.37    0.42    1648/1704        exhaustiveSearchEpipolarLine(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, float, Mat<float>*, Mat<float>*, float) [14]
[19]    10.8    0.38    0.43    1704         cv::Mat Mat2cvp<float>(Mat<float>, Mat<float>, Mat<float>) [19]
                0.43    0.00 24537600/206509790     Mat<float>::get(int, int) const [8]
                0.00    0.00    5112/56402520     Mat<float>::getLine() const [23]
                0.00    0.00    5112/58910234     Mat<float>::getColumn() const [38]
                0.00    0.00  102240/102780      unsigned char* cv::Mat::ptr<unsigned char>(int) [106]
                0.00    0.00    1704/1704        cv::Mat::Mat(int, int, int) [119]
-----------------------------------------------
                0.00    0.00     160/254494      LSSE3<float>::energy(Mat<float>) [4]
                0.00    0.00     210/254494      Mat<float> gaussj<float>(Mat<float>*, Mat<float>*, int) [64]
                0.00    0.01    3271/254494      LSSE3<float>::computePyramidResidualA(int) [5]
                0.00    0.01    4944/254494      main10() [2]
                0.00    0.01    4944/254494      debugPose(Frame<float>*, Frame<float>*, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, float) [40]
                0.00    0.02    8240/254494      computeEpipolarLine2(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [43]
                0.00    0.02    8240/254494      computeEpipolarLine(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [45]
                0.02    0.10   42523/254494      LSSE3<float>::proj(Mat<float> const&) [35]
                0.02    0.10   42523/254494      LSSE3<float>::rigidMotion(Mat<float> const&, Mat<float> const&) [10]
                0.02    0.10   42523/254494      LSSE3<float>::retroproj(Mat<float> const&) [25]
                0.02    0.10   42532/254494      Mat<float> expW<float>(Mat<float> const&) [22]
                0.03    0.13   54384/254494      exhaustiveSearchEpipolarLine(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, float, Mat<float>*, Mat<float>*, float) [14]
[20]    10.0    0.14    0.61  254494         Mat<float> operator*<float>(Mat<float> const&, Mat<float> const&) [20]
                0.14    0.38  508988/1810368     Mat<float>::Mat(Mat<float> const&) [13]
                0.02    0.00  508988/5101635     Mat<float>::~Mat() [27]
                0.01    0.01  254284/254704      void transpose<float>(Mat<float>*) [49]
                0.01    0.00 1051810/10898299     Mat<float>::set(float, int, int) [36]
                0.01    0.00  254284/2291920     Mat<float>::Mat(int, int) [39]
                0.01    0.00 1272050/56402520     Mat<float>::getLine() const [23]
                0.01    0.00 2734504/58910234     Mat<float>::getColumn() const [38]
                0.00    0.00     210/210         Mat<float> product<float>(Mat<float>*, Mat<float>*) [68]
-----------------------------------------------
                0.00    0.18   16355/58887       LSSE3<float>::Jr(Mat<float> const&, Mat<float> const&) [6]
                0.00    0.48   42532/58887       Mat<float> expMSIM3<float>(Mat<float> const&) [11]
[21]     8.9    0.00    0.66   58887         Mat<float> operatorL<float>(Mat<float> const&, Mat<float> const&) [21]
                0.24    0.35   58887/196199      Mat<float>::Mat(Mat<float> const&, float, int, int, int, int) [12]
                0.02    0.04   58887/1810368     Mat<float>::Mat(Mat<float> const&) [13]
                0.00    0.00  186483/206509790     Mat<float>::get(int, int) const [8]
                0.00    0.00  422031/56402520     Mat<float>::getLine() const [23]
                0.00    0.00   58887/5101635     Mat<float>::~Mat() [27]
                0.00    0.00  186483/10898299     Mat<float>::set(float, int, int) [36]
                0.00    0.00  863706/58910234     Mat<float>::getColumn() const [38]
-----------------------------------------------
                0.02    0.49   42532/42532       Mat<float> expMSIM3<float>(Mat<float> const&) [11]
[22]     6.8    0.02    0.49   42532         Mat<float> expW<float>(Mat<float> const&) [22]
                0.02    0.10   42532/254494      Mat<float> operator*<float>(Mat<float> const&, Mat<float> const&) [20]
                0.00    0.12   85064/188271      Mat<float> operator-<float>(Mat<float> const&, Mat<float> const&) [26]
                0.01    0.06   42532/132720      Mat<float> operator+<float>(Mat<float> const&, Mat<float> const&) [33]
                0.02    0.03  127596/399760      Mat<float> operator*<float>(float const&, Mat<float> const&) [34]
                0.01    0.03   42532/1810368     Mat<float>::Mat(Mat<float> const&) [13]
                0.02    0.00  425320/5101635     Mat<float>::~Mat() [27]
                0.00    0.02   42532/44180       Mat<float> crossProduct<float>(Mat<float> const&) [50]
                0.01    0.00   42532/221536      Mat<float>::Mat(float, int, int) [42]
                0.00    0.00   42532/175298      Mat<float> transpose<float>(Mat<float> const&) [46]
                0.00    0.01   42532/175226      float norme1<float>(Mat<float>) [48]
                0.00    0.00  255192/206509790     Mat<float>::get(int, int) const [8]
                0.00    0.00   42532/329344      std::sqrt(float) [51]
                0.00    0.00  127596/10898299     Mat<float>::set(float, int, int) [36]
                0.00    0.00   42532/42532       std::cos(float) [107]
                0.00    0.00   42532/42532       std::sin(float) [108]
-----------------------------------------------
                0.00    0.00       2/56402520     initializeInvDM(Frame<float>*, float) [41]
                0.00    0.00       8/56402520     debugPose(Frame<float>*, Frame<float>*, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, float) [40]
                0.00    0.00      25/56402520     main10() [2]
                0.00    0.00      32/56402520     bool isnanM<float>(Mat<float>) [80]
                0.00    0.00      57/56402520     Mat<float> invGJ<float>(Mat<float>, int) [63]
                0.00    0.00      57/56402520     Mat<float> gaussj<float>(Mat<float>*, Mat<float>*, int) [64]
                0.00    0.00      64/56402520     LSSE3<float>::energy(Mat<float>) [4]
                0.00    0.00     192/56402520     Mat<float> pooling<float>(Mat<float>, Mat<float>, int) [32]
                0.00    0.00     321/56402520     bool operator==<float>(Mat<float> const&, Mat<float> const&) [86]
                0.00    0.00     630/56402520     Mat<float> product<float>(Mat<float>*, Mat<float>*) [68]
                0.00    0.00    3271/56402520     LSSE3<float>::Jr(Mat<float> const&, Mat<float> const&) [6]
                0.00    0.00    5112/56402520     cv::Mat Mat2cvp<float>(Mat<float>, Mat<float>, Mat<float>) [19]
                0.00    0.00    6670/56402520     LSSE3<float>::computePyramidResidualA(int) [5]
                0.00    0.00   21424/56402520     float norme2<float>(Mat<float>) [62]
                0.00    0.00   39552/56402520     Mat<float> absM<float>(Mat<float> const&) [54]
                0.00    0.00   50592/56402520     float max<float>(Mat<float>) [60]
                0.00    0.00   68891/56402520     void homogeneousNormalization<float>(Mat<float>*) [52]
                0.00    0.00   88777/56402520     bool operator< <float>(Mat<float> const&, Mat<float> const&) [65]
                0.00    0.00  175226/56402520     float norme1<float>(Mat<float>) [48]
                0.00    0.00  254704/56402520     void transpose<float>(Mat<float>*) [49]
                0.00    0.00  350932/56402520     Mat<float> transpose<float>(Mat<float> const&) [46]
                0.00    0.00  422031/56402520     Mat<float> operatorL<float>(Mat<float> const&, Mat<float> const&) [21]
                0.00    0.00  486082/56402520     Mat<float> extract<float>(Mat<float> const&, int, int, int, int) [37]
                0.00    0.00  530880/56402520     Mat<float> operator+<float>(Mat<float> const&, Mat<float> const&) [33]
                0.00    0.00  581219/56402520     Mat<float>::copy(Mat<float> const&) [18]
                0.01    0.00  733016/56402520     Mat<float> operator%<float>(Mat<float> const&, Mat<float> const&) [28]
                0.01    0.00  753084/56402520     Mat<float> operator-<float>(Mat<float> const&, Mat<float> const&) [26]
                0.01    0.00  799520/56402520     Mat<float> operator*<float>(float const&, Mat<float> const&) [34]
                0.01    0.00 1272050/56402520     Mat<float> operator*<float>(Mat<float> const&, Mat<float> const&) [20]
                0.01    0.00 1391122/56402520     Mat<float> operatorC<float>(Mat<float> const&, Mat<float> const&) [16]
                0.01    0.00 1592328/56402520     Mat<float> sum<float>(Mat<float> const&) [24]
                0.01    0.00 1810368/56402520     Mat<float>::Mat(Mat<float> const&) [13]
                0.32    0.00 44964281/56402520     Mat<float>::Mat(Mat<float> const&, float, int, int, int, int) [12]
[23]     5.4    0.40    0.00 56402520         Mat<float>::getLine() const [23]
-----------------------------------------------
                0.04    0.33  265388/265388      Frame<float>::get(Mat<float> const&) [15]
[24]     5.0    0.04    0.33  265388         Mat<float> sum<float>(Mat<float> const&) [24]
                0.07    0.20  265388/1810368     Mat<float>::Mat(Mat<float> const&) [13]
                0.01    0.00  796164/206509790     Mat<float>::get(int, int) const [8]
                0.01    0.00  265388/5101635     Mat<float>::~Mat() [27]
                0.01    0.00 1592328/56402520     Mat<float>::getLine() const [23]
                0.01    0.00  265388/2291920     Mat<float>::Mat(int, int) [39]
                0.01    0.00  530776/10898299     Mat<float>::set(float, int, int) [36]
                0.00    0.00 1061552/58910234     Mat<float>::getColumn() const [38]
-----------------------------------------------
                0.00    0.36   42523/42523       LSSE3<float>::warp(Mat<float> const&, Mat<float> const&) [9]
[25]     4.8    0.00    0.36   42523         LSSE3<float>::retroproj(Mat<float> const&) [25]
                0.01    0.19   85046/581147      Mat<float>::operator=(Mat<float> const&) [17]
                0.02    0.10   42523/254494      Mat<float> operator*<float>(Mat<float> const&, Mat<float> const&) [20]
                0.01    0.01   42523/399760      Mat<float> operator*<float>(float const&, Mat<float> const&) [34]
                0.01    0.00   42523/42523       LSSE3<float>::Z(Mat<float> const&) [53]
                0.00    0.00   85046/5101635     Mat<float>::~Mat() [27]
                0.00    0.00  127569/10898299     Mat<float>::set(float, int, int) [36]
                0.00    0.00   42523/2291920     Mat<float>::Mat(int, int) [39]
                0.00    0.00   85046/206509790     Mat<float>::get(int, int) const [8]
-----------------------------------------------
                0.00    0.00       8/188271      debugPose(Frame<float>*, Frame<float>*, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, float) [40]
                0.00    0.00    1648/188271      computeEpipolarLine2(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [43]
                0.00    0.03   19776/188271      exhaustiveSearchEpipolarLine(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, float, Mat<float>*, Mat<float>*, float) [14]
                0.00    0.06   39252/188271      LSSE3<float>::Jr(Mat<float> const&, Mat<float> const&) [6]
                0.00    0.06   42523/188271      LSSE3<float>::r(Mat<float> const&, Mat<float> const&) [7]
                0.00    0.12   85064/188271      Mat<float> expW<float>(Mat<float> const&) [22]
[26]     3.7    0.01    0.27  188271         Mat<float> operator-<float>(Mat<float> const&, Mat<float> const&) [26]
                0.05    0.14  188271/1810368     Mat<float>::Mat(Mat<float> const&) [13]
                0.04    0.00 2017202/206509790     Mat<float>::get(int, int) const [8]
                0.01    0.00 1008601/10898299     Mat<float>::set(float, int, int) [36]
                0.01    0.00  188271/5101635     Mat<float>::~Mat() [27]
                0.01    0.00  188271/2291920     Mat<float>::Mat(int, int) [39]
                0.01    0.00  753084/56402520     Mat<float>::getLine() const [23]
                0.00    0.00 1025110/58910234     Mat<float>::getColumn() const [38]
-----------------------------------------------
                0.00    0.00       8/5101635     OODirectSlamSE3<float>::OODirectSlamSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [30]
                0.00    0.00      16/5101635     LSSE3<float>::LSSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, int) [29]
                0.00    0.00      23/5101635     void std::_Destroy<Mat<float> >(Mat<float>*) [88]
                0.00    0.00      40/5101635     poseEstimationLS(Frame<float>*, Mat<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [3]
                0.00    0.00     114/5101635     Mat<float> invGJ<float>(Mat<float>, int) [63]
                0.00    0.00     128/5101635     OODirectSlamSE3<float>::~OODirectSlamSE3() [77]
                0.00    0.00     168/5101635     void afficherMat<float>(std::string, Mat<float>*, Mat<float>*, Mat<float>*, bool, float) [47]
                0.00    0.00     192/5101635     LSSE3<float>::~LSSE3() [74]
                0.00    0.00     194/5101635     Frame<float>::~Frame() [78]
                0.00    0.00     210/5101635     Mat<float> product<float>(Mat<float>*, Mat<float>*) [68]
                0.00    0.00     352/5101635     OODirectSlamSE3<float>::computePyramid(int) [31]
                0.00    0.00     416/5101635     LSSE3<float>::energy(Mat<float>) [4]
                0.00    0.00     876/5101635     Mat<float> gaussj<float>(Mat<float>*, Mat<float>*, int) [64]
                0.00    0.00    4801/5101635     initializeInvDM(Frame<float>*, float) [41]
                0.00    0.00   10043/5101635     main10() [2]
                0.00    0.00   11536/5101635     computeEpipolarLine(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [45]
                0.00    0.00   14872/5101635     debugPose(Frame<float>*, Frame<float>*, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, float) [40]
                0.00    0.00   21424/5101635     computeEpipolarLine2(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [43]
                0.00    0.00   32678/5101635     LSSE3<float>::computePyramidResidualA(int) [5]
                0.00    0.00   58887/5101635     Mat<float> operatorL<float>(Mat<float> const&, Mat<float> const&) [21]
                0.00    0.00   85046/5101635     LSSE3<float>::warp(Mat<float> const&, Mat<float> const&) [9]
                0.00    0.00   85046/5101635     LSSE3<float>::retroproj(Mat<float> const&) [25]
                0.00    0.00  101312/5101635     Mat<float> pooling<float>(Mat<float>, Mat<float>, int) [32]
                0.01    0.00  117756/5101635     LSSE3<float>::Jr(Mat<float> const&, Mat<float> const&) [6]
                0.01    0.00  127569/5101635     LSSE3<float>::r(Mat<float> const&, Mat<float> const&) [7]
                0.01    0.00  132720/5101635     Mat<float> operator+<float>(Mat<float> const&, Mat<float> const&) [33]
                0.01    0.00  137312/5101635     Mat<float> operatorC<float>(Mat<float> const&, Mat<float> const&) [16]
                0.01    0.00  183254/5101635     Mat<float> operator%<float>(Mat<float> const&, Mat<float> const&) [28]
                0.01    0.00  188271/5101635     Mat<float> operator-<float>(Mat<float> const&, Mat<float> const&) [26]
                0.01    0.00  215888/5101635     exhaustiveSearchEpipolarLine(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, float, Mat<float>*, Mat<float>*, float) [14]
                0.01    0.00  255138/5101635     LSSE3<float>::rigidMotion(Mat<float> const&, Mat<float> const&) [10]
                0.01    0.00  265388/5101635     Mat<float> sum<float>(Mat<float> const&) [24]
                0.02    0.00  340256/5101635     Mat<float> expMSIM3<float>(Mat<float> const&) [11]
                0.02    0.00  425320/5101635     Mat<float> expW<float>(Mat<float> const&) [22]
                0.02    0.00  508988/5101635     Mat<float> operator*<float>(Mat<float> const&, Mat<float> const&) [20]
                0.03    0.00  581147/5101635     Mat<float>::operator=(Mat<float> const&) [17]
                0.06    0.00 1194246/5101635     Frame<float>::get(Mat<float> const&) [15]
[27]     3.3    0.25    0.00 5101635         Mat<float>::~Mat() [27]
-----------------------------------------------
                0.00    0.07   50560/183254      Mat<float> pooling<float>(Mat<float>, Mat<float>, int) [32]
                0.00    0.18  132694/183254      Frame<float>::get(Mat<float> const&) [15]
[28]     3.3    0.00    0.25  183254         Mat<float> operator%<float>(Mat<float> const&, Mat<float> const&) [28]
                0.05    0.14  183254/1810368     Mat<float>::Mat(Mat<float> const&) [13]
                0.03    0.00 1466032/206509790     Mat<float>::get(int, int) const [8]
                0.01    0.00  733016/10898299     Mat<float>::set(float, int, int) [36]
                0.01    0.00  183254/5101635     Mat<float>::~Mat() [27]
                0.01    0.00  183254/2291920     Mat<float>::Mat(int, int) [39]
                0.01    0.00  733016/56402520     Mat<float>::getLine() const [23]
                0.00    0.00  916270/58910234     Mat<float>::getColumn() const [38]
-----------------------------------------------
                0.00    0.22       8/8           poseEstimationLS(Frame<float>*, Mat<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [3]
[29]     3.0    0.00    0.22       8         LSSE3<float>::LSSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, int) [29]
                0.00    0.22       8/8           OODirectSlamSE3<float>::OODirectSlamSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [30]
                0.00    0.00      56/581147      Mat<float>::operator=(Mat<float> const&) [17]
                0.00    0.00       8/399760      Mat<float> operator*<float>(float const&, Mat<float> const&) [34]
                0.00    0.00      16/5101635     Mat<float>::~Mat() [27]
                0.00    0.00       8/8           Mat<float>::Mat(int, int, char) [93]
                0.00    0.00     192/386         Mat<float>::Mat() [122]
                0.00    0.00      16/50          std::numeric_limits<float>::epsilon() [146]
                0.00    0.00      16/48          std::pow(float, float) [155]
-----------------------------------------------
                0.00    0.22       8/8           LSSE3<float>::LSSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, int) [29]
[30]     3.0    0.00    0.22       8         OODirectSlamSE3<float>::OODirectSlamSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [30]
                0.00    0.22       8/8           OODirectSlamSE3<float>::computePyramid(int) [31]
                0.00    0.00       8/16          std::vector<Mat<float>, std::allocator<Mat<float> > >::insert(__gnu_cxx::__normal_iterator<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > >, Mat<float> const&) [72]
                0.00    0.00       8/221536      Mat<float>::Mat(float, int, int) [42]
                0.00    0.00       8/5101635     Mat<float>::~Mat() [27]
                0.00    0.00       8/8           OO<float>::OO() [211]
                0.00    0.00       8/36          std::vector<Mat<float>, std::allocator<Mat<float> > >::begin() [159]
-----------------------------------------------
                0.00    0.22       8/8           OODirectSlamSE3<float>::OODirectSlamSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [30]
[31]     3.0    0.00    0.22       8         OODirectSlamSE3<float>::computePyramid(int) [31]
                0.01    0.21      96/96          Mat<float> pooling<float>(Mat<float>, Mat<float>, int) [32]
                0.00    0.00      24/57          Mat<float> invGJ<float>(Mat<float>, int) [63]
                0.00    0.00     128/581147      Mat<float>::operator=(Mat<float> const&) [17]
                0.00    0.00     224/1810368     Mat<float>::Mat(Mat<float> const&) [13]
                0.00    0.00      64/72          Frame<float>::operator=(Frame<float> const&) [69]
                0.00    0.00      48/57          Frame<float>::Frame(Mat<float>, int) [71]
                0.00    0.00     352/5101635     Mat<float>::~Mat() [27]
                0.00    0.00      48/194         Frame<float>::~Frame() [78]
                0.00    0.00       8/221536      Mat<float>::Mat(float, int, int) [42]
                0.00    0.00      48/206509790     Mat<float>::get(int, int) const [8]
                0.00    0.00      48/10898299     Mat<float>::set(float, int, int) [36]
                0.00    0.00     128/386         Mat<float>::Mat() [122]
                0.00    0.00      64/64          Frame<float>::Frame() [138]
                0.00    0.00      48/120         Frame<float>::getChannel() const [125]
-----------------------------------------------
                0.01    0.21      96/96          OODirectSlamSE3<float>::computePyramid(int) [31]
[32]     2.9    0.01    0.21      96         Mat<float> pooling<float>(Mat<float>, Mat<float>, int) [32]
                0.00    0.11   50560/581147      Mat<float>::operator=(Mat<float> const&) [17]
                0.00    0.07   50560/183254      Mat<float> operator%<float>(Mat<float> const&, Mat<float> const&) [28]
                0.01    0.01   50560/486082      Mat<float> extract<float>(Mat<float> const&, int, int, int, int) [37]
                0.00    0.01   50560/50592       float max<float>(Mat<float>) [60]
                0.00    0.00  101312/5101635     Mat<float>::~Mat() [27]
                0.00    0.00   50560/10898299     Mat<float>::set(float, int, int) [36]
                0.00    0.00     192/1810368     Mat<float>::Mat(Mat<float> const&) [13]
                0.00    0.00      96/221536      Mat<float>::Mat(float, int, int) [42]
                0.00    0.00     192/56402520     Mat<float>::getLine() const [23]
                0.00    0.00     192/58910234     Mat<float>::getColumn() const [38]
-----------------------------------------------
                0.00    0.00      32/132720      LSSE3<float>::energy(Mat<float>) [4]
                0.00    0.00    1648/132720      debugPose(Frame<float>*, Frame<float>*, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, float) [40]
                0.00    0.00    1664/132720      main10() [2]
                0.00    0.00    3271/132720      LSSE3<float>::computePyramidResidualA(int) [5]
                0.00    0.00    3296/132720      computeEpipolarLine2(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [43]
                0.00    0.03   18128/132720      exhaustiveSearchEpipolarLine(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, float, Mat<float>*, Mat<float>*, float) [14]
                0.00    0.03   19626/132720      LSSE3<float>::Jr(Mat<float> const&, Mat<float> const&) [6]
                0.01    0.06   42523/132720      LSSE3<float>::rigidMotion(Mat<float> const&, Mat<float> const&) [10]
                0.01    0.06   42532/132720      Mat<float> expW<float>(Mat<float> const&) [22]
[33]     2.8    0.02    0.19  132720         Mat<float> operator+<float>(Mat<float> const&, Mat<float> const&) [33]
                0.04    0.10  132720/1810368     Mat<float>::Mat(Mat<float> const&) [13]
                0.03    0.00 1565072/206509790     Mat<float>::get(int, int) const [8]
                0.01    0.00  782536/10898299     Mat<float>::set(float, int, int) [36]
                0.01    0.00  132720/5101635     Mat<float>::~Mat() [27]
                0.00    0.00  132720/2291920     Mat<float>::Mat(int, int) [39]
                0.00    0.00  530880/56402520     Mat<float>::getLine() const [23]
                0.00    0.00  849664/58910234     Mat<float>::getColumn() const [38]
-----------------------------------------------
                0.00    0.00       8/399760      LSSE3<float>::LSSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, int) [29]
                0.00    0.00    1648/399760      computeEpipolarLine(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [45]
                0.00    0.00    1696/399760      main10() [2]
                0.00    0.00    3271/399760      LSSE3<float>::Jr(Mat<float> const&, Mat<float> const&) [6]
                0.00    0.00    4944/399760      debugPose(Frame<float>*, Frame<float>*, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, float) [40]
                0.00    0.00    6592/399760      computeEpipolarLine2(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [43]
                0.01    0.01   36256/399760      exhaustiveSearchEpipolarLine(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, float, Mat<float>*, Mat<float>*, float) [14]
                0.01    0.01   42523/399760      LSSE3<float>::retroproj(Mat<float> const&) [25]
                0.01    0.01   42532/399760      Mat<float> expMSIM3<float>(Mat<float> const&) [11]
                0.02    0.03  127596/399760      Mat<float> expW<float>(Mat<float> const&) [22]
                0.02    0.03  132694/399760      Frame<float>::get(Mat<float> const&) [15]
[34]     2.2    0.07    0.09  399760         Mat<float> operator*<float>(float const&, Mat<float> const&) [34]
                0.04    0.00 2337643/206509790     Mat<float>::get(int, int) const [8]
                0.03    0.00 2337643/10898299     Mat<float>::set(float, int, int) [36]
                0.01    0.00  399760/2291920     Mat<float>::Mat(int, int) [39]
                0.01    0.00  799520/56402520     Mat<float>::getLine() const [23]
